date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2025-02-06,2025-02-06T10:39:00,2025-02-06T11:40:00,PLTR,buy_to_open,sell_to_close,long,107.2886,107.5535,18.6413,2000.00,0.2469,4.94,max_hold_60min,3660.0,Momentum Trading,0.1959,0.0000,0.0000
2025-02-11,2025-02-11T10:18:00,2025-02-11T11:16:00,INTC,buy_to_open,sell_to_close,long,20.8674,21.2909,95.8433,2000.00,2.0296,40.59,Trailing stop triggered at $21.3536 (locking in 2.26% profit),3480.0,Momentum Trading,0.0719,0.0000,0.0000
2025-02-12,2025-02-12T09:59:00,2025-02-12T11:00:00,RIVN,buy_to_open,sell_to_close,long,12.6300,12.4980,158.3531,2000.00,-1.0451,-20.90,max_hold_60min,3660.0,Momentum Trading,0.0792,0.0000,0.0000
2025-02-13,2025-02-13T10:20:00,2025-02-13T11:21:00,INTC,buy_to_open,sell_to_close,long,24.4119,24.3495,81.9272,2000.00,-0.2558,-5.12,max_hold_60min,3660.0,Momentum Trading,0.0977,0.0000,0.0000
2025-02-14,2025-02-14T10:28:00,2025-02-14T10:48:00,SOFI,buy_to_open,sell_to_close,long,15.9164,16.0325,125.6566,2000.00,0.7294,14.59,Trailing stop triggered at $16.0427 (locking in 0.69% profit),1200.0,Momentum Trading,0.1006,0.0000,0.0000
2025-02-21,2025-02-21T09:35:00,2025-02-21T10:00:00,RIVN,buy_to_open,sell_to_close,long,12.9210,13.0320,154.7868,2000.00,0.8591,17.18,Trailing stop triggered at $13.0906 (locking in 1.06% profit),1500.0,Momentum Trading,0.2480,0.0000,0.0000
2025-02-21,2025-02-21T11:15:00,2025-02-21T11:30:00,RIVN,buy_to_open,sell_to_close,long,13.0628,13.1345,153.1064,2000.00,0.5488,10.98,Trailing stop triggered at $13.1953 (locking in 0.89% profit),900.0,Momentum Trading,0.1196,0.0000,0.0000
2025-02-28,2025-02-28T10:22:00,2025-02-28T11:23:00,SOFI,buy_to_open,sell_to_close,long,14.4030,14.3712,138.8600,2000.00,-0.2207,-4.41,max_hold_60min,3660.0,Momentum Trading,0.1111,0.0000,0.0000
2025-02-28,2025-02-28T10:37:00,2025-02-28T11:38:00,INTC,buy_to_open,sell_to_close,long,24.2630,23.8076,82.4300,2000.00,-1.8769,-37.54,max_hold_60min,3660.0,Momentum Trading,0.1485,0.0000,0.0000
2025-03-04,2025-03-04T12:13:00,2025-03-04T12:41:00,COIN,buy_to_open,sell_to_close,long,203.0150,205.8582,9.8515,2000.00,1.4005,28.01,Trailing stop triggered at $206.4160 (locking in 1.61% profit),1680.0,Momentum Trading,0.0641,0.0000,0.0000
2025-03-04,2025-03-04T13:17:00,2025-03-04T14:18:00,COIN,buy_to_open,sell_to_close,long,209.7894,216.8630,9.5334,2000.00,3.3718,67.44,max_hold_60min,3660.0,Momentum Trading,0.1125,0.0000,0.0000
2025-03-04,2025-03-04T14:27:00,2025-03-04T15:00:00,COIN,buy_to_open,sell_to_close,long,216.0765,215.4710,9.2560,2000.00,-0.2802,-5.60,force_close_eod,1980.0,Momentum Trading,0.0801,0.0000,0.0000
2025-03-06,2025-03-06T10:24:00,2025-03-06T11:25:00,SOFI,buy_to_open,sell_to_close,long,13.1900,13.0029,151.6300,2000.00,-1.4186,-28.37,max_hold_60min,3660.0,Momentum Trading,0.0758,0.0000,0.0000
2025-03-07,2025-03-07T09:56:00,2025-03-07T10:57:00,COIN,buy_to_open,sell_to_close,long,220.0990,216.3672,9.0868,2000.00,-1.6955,-33.91,max_hold_60min,3660.0,Momentum Trading,0.1628,0.0000,0.0000
2025-03-07,2025-03-07T10:01:00,2025-03-07T11:02:00,INTC,buy_to_open,sell_to_close,long,21.0505,20.5952,95.0096,2000.00,-2.1631,-43.26,max_hold_60min,3660.0,Momentum Trading,0.1569,0.0000,0.0000
2025-03-07,2025-03-07T12:58:00,2025-03-07T13:06:00,COIN,buy_to_open,sell_to_close,long,214.1780,217.8231,9.3380,2000.00,1.7019,34.04,Trailing stop triggered at $218.3030 (locking in 1.66% profit),480.0,Momentum Trading,0.2599,0.0000,0.0000
2025-03-10,2025-03-10T10:56:00,2025-03-10T11:57:00,RIVN,buy_to_open,sell_to_close,long,11.4150,11.2840,175.2081,2000.00,-1.1476,-22.95,max_hold_60min,3660.0,Momentum Trading,0.1666,0.0000,0.0000
2025-03-11,2025-03-11T10:13:00,2025-03-11T11:14:00,COIN,buy_to_open,sell_to_close,long,192.3133,189.2205,10.3997,2000.00,-1.6082,-32.16,max_hold_60min,3660.0,Momentum Trading,0.1049,0.0000,0.0000
2025-03-11,2025-03-11T10:40:00,2025-03-11T11:41:00,TSLA,buy_to_open,sell_to_close,long,232.1567,227.8905,8.6149,2000.00,-1.8376,-36.75,max_hold_60min,3660.0,Momentum Trading,0.1353,0.0000,0.0000
2025-03-11,2025-03-11T13:27:00,2025-03-11T13:56:00,COIN,buy_to_open,sell_to_close,long,191.3990,193.7619,10.4494,2000.00,1.2345,24.69,Trailing stop triggered at $194.7180 (locking in 1.63% profit),1740.0,Momentum Trading,0.1035,0.0000,0.0000
2025-03-11,2025-03-11T13:31:00,2025-03-11T13:55:00,TSLA,buy_to_open,sell_to_close,long,232.3018,235.6329,8.6095,2000.00,1.4339,28.68,Trailing stop triggered at $235.9524 (locking in 1.43% profit),1440.0,Momentum Trading,0.1394,0.0000,0.0000
2025-03-13,2025-03-13T09:39:00,2025-03-13T10:40:00,COIN,buy_to_open,sell_to_close,long,187.1060,181.7600,10.6891,2000.00,-2.8572,-57.14,max_hold_60min,3660.0,Momentum Trading,0.1080,0.0000,0.0000
2025-03-19,2025-03-19T14:14:00,2025-03-19T15:00:00,COIN,buy_to_open,sell_to_close,long,192.2040,189.9300,10.4056,2000.00,-1.1831,-23.66,force_close_eod,2760.0,Momentum Trading,0.0666,0.0000,0.0000
2025-03-27,2025-03-27T10:00:00,2025-03-27T10:10:00,RIVN,buy_to_open,sell_to_close,long,12.8510,12.9294,155.6299,2000.00,0.6097,12.19,Trailing stop triggered at $12.9560 (locking in 0.72% profit),600.0,Momentum Trading,0.0934,0.0000,0.0000
2025-03-27,2025-03-27T11:30:00,2025-03-27T12:31:00,RIVN,buy_to_open,sell_to_close,long,13.0940,12.8211,152.7417,2000.00,-2.0842,-41.68,max_hold_60min,3660.0,Momentum Trading,0.0611,0.0000,0.0000
2025-03-31,2025-03-31T09:30:00,2025-03-31T10:03:00,PLTR,buy_to_open,sell_to_close,long,82.1442,82.6765,24.3474,2000.00,0.6481,12.96,Trailing stop triggered at $82.8507 (locking in 0.68% profit),1980.0,Momentum Trading,0.1803,0.0000,0.0000
2025-04-01,2025-04-01T10:22:00,2025-04-01T11:23:00,RIVN,buy_to_open,sell_to_close,long,13.4179,13.4170,149.0543,2000.00,-0.0070,-0.14,max_hold_60min,3660.0,Momentum Trading,0.1183,0.0000,0.0000
2025-04-04,2025-04-04T10:25:00,2025-04-04T11:26:00,AMZN,buy_to_open,sell_to_close,long,177.4400,174.7945,11.2714,2000.00,-1.4909,-29.82,max_hold_60min,3660.0,Momentum Trading,0.1466,0.0000,0.0000
2025-04-04,2025-04-04T10:25:00,2025-04-04T11:26:00,BA,buy_to_open,sell_to_close,long,140.4601,137.4670,14.2389,2000.00,-2.1309,-42.62,max_hold_60min,3660.0,Momentum Trading,0.1567,0.0000,0.0000
2025-04-04,2025-04-04T10:25:00,2025-04-04T11:26:00,META,buy_to_open,sell_to_close,long,511.8885,505.5130,3.9071,2000.00,-1.2455,-24.91,max_hold_60min,3660.0,Momentum Trading,0.1343,0.0000,0.0000
2025-04-04,2025-04-04T10:25:00,2025-04-04T11:26:00,UBER,buy_to_open,sell_to_close,long,66.0750,64.8303,30.2686,2000.00,-1.8838,-37.68,max_hold_60min,3660.0,Momentum Trading,0.1666,0.0000,0.0000
2025-04-04,2025-04-04T10:28:00,2025-04-04T11:29:00,SOFI,buy_to_open,sell_to_close,long,9.6420,9.4380,207.4258,2000.00,-2.1157,-42.31,max_hold_60min,3660.0,Momentum Trading,0.1453,0.0000,0.0000
2025-04-04,2025-04-04T10:42:00,2025-04-04T11:43:00,SNAP,buy_to_open,sell_to_close,long,8.1831,8.1195,244.4062,2000.00,-0.7772,-15.54,max_hold_60min,3660.0,Momentum Trading,0.0733,0.0000,0.0000
2025-04-04,2025-04-04T13:00:00,2025-04-04T14:01:00,COIN,buy_to_open,sell_to_close,long,161.9032,159.2113,12.3531,2000.00,-1.6627,-33.25,max_hold_60min,3660.0,Momentum Trading,0.0966,0.0000,0.0000
2025-04-04,2025-04-04T13:05:00,2025-04-04T14:06:00,PLTR,buy_to_open,sell_to_close,long,75.5640,73.4670,26.4676,2000.00,-2.7751,-55.50,max_hold_60min,3660.0,Momentum Trading,0.1165,0.0000,0.0000
2025-04-04,2025-04-04T14:42:00,2025-04-04T15:00:00,SNAP,buy_to_open,sell_to_close,long,8.0622,8.0450,248.0728,2000.00,-0.2127,-4.25,force_close_eod,1080.0,Momentum Trading,0.0533,0.0000,0.0000
2025-04-07,2025-04-07T12:52:00,2025-04-07T13:03:00,COIN,buy_to_open,sell_to_close,long,159.2240,160.3704,12.5609,2000.00,0.7200,14.40,Trailing stop triggered at $160.7064 (locking in 0.75% profit),660.0,Momentum Trading,0.1810,0.0000,0.0000
